step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.10252328,0.2952907439321279,0.0,0.00011095125794212575,0.00033158668397789036,0.0019910899574448237
2,training,0.08279831,0.25115419179201126,0.0,0.011386882357530236,0.0003601282841227883,0.0021673136356461183
3,training,0.06627821,0.22156555950641632,0.0,0.04902344391758177,0.0004927232602811636,0.007406426735945723
4,training,0.05483606,0.22553454339504242,0.0,0.08873962887218129,0.0010262325138153127,0.020769339309240645
5,training,0.045690693,0.23960332572460175,0.0,0.12866312918049538,0.002239523673815161,0.041484698518374455
6,training,0.038304627,0.2287344336509704,0.0,0.1684100303502863,0.004355638045314167,0.066762309777178
7,training,0.027204895,0.15222717821598053,0.0,0.2079119549966173,0.007636498999061806,0.10044341041118643
8,training,0.017280761,0.043474495410919245,0.01108267342684573,0.24731195315188043,0.012372736514572774,0.14003117425139117
9,training,0.008214921,0.02201828360557556,0.01108267342684573,0.28648406839491225,0.018788143482936268,0.18658404096599374
10,training,0.0050433218,0.07159094512462613,0.01108267342684573,0.3250678860850876,0.027144983699019364,0.2409370072128343
11,training,0.0033629474,0.10103073716163635,0.01108267342684573,0.3630956820518548,0.03763895346417597,0.2990851900680284
12,training,0.0063366382,0.17431695759296417,0.00838360695959215,0.40057286738689024,0.05048907341930288,0.36539591889102285
13,training,0.0054282723,0.28701916337013245,0.00838360695959215,0.4366175500766106,0.06572065212499331,0.43628594444976543
14,training,0.03617292,0.35890499874949455,0.00838360695959215,0.48858810152841065,0.09360709613485857,0.550094371738399
15,training,0.07353222,0.33382590115070343,0.030705798035995546,0.5369768844506039,0.12729392668631415,0.6684694972392585
16,training,0.020472663,0.2801847904920578,0.030705798035995546,0.5666837607665121,0.15273977805091263,0.7479494504794084
17,training,0.03984127,0.1967712789773941,0.06733434811168054,0.6076465362935604,0.19531587623858224,0.8577610988128866
18,training,0.04690831,0.19309843704104424,0.06733434811168054,0.6438026929308341,0.2412782354761119,0.9461584926392074
19,training,0.038937688,0.271257221698761,0.06733434811168054,0.6661424136420182,0.27390092748193084,0.9919008905630655
20,training,0.04357681,0.26089026033878326,0.15550170010379985,0.676855164255479,0.29064857569237,1.0103025612010446
21,training,0.04161957,0.29820798337459564,0.15550170010379985,0.6972420153010346,0.32422988206004794,1.0321707167610448
22,training,0.035024386,0.5808407813310623,0.15550170010379985,0.7180923071727051,0.35809507008884284,1.003354806430832
23,training,0.033054687,0.5971803963184357,0.15550170010379985,0.7290413681026097,0.37497328979625855,0.9843678608285883
24,training,0.08740052,0.712450698018074,0.15550170010379985,0.7529777727826266,0.4078220572182365,0.8945783929475444
25,training,0.07551127,0.6759478226304054,0.15550170010379985,0.7802653031996536,0.43847219438536844,0.7849624795078736
26,training,0.068522416,0.5585407540202141,0.25074792821143616,0.8107148496954357,0.4655546150596321,0.666569228070715
27,training,0.092315294,0.48830143362283707,0.25074792821143616,0.8441277470370457,0.48904521094825976,0.5633101315052801
28,training,0.069462515,0.4256864860653877,0.2641931413233476,0.8793632321441066,0.5092091511065066,0.4783574142410956
29,training,0.07250589,0.32950767874717707,0.2641931413233476,0.9162490078008931,0.5265803823670668,0.4037529204732471
30,training,0.122238725,0.2801518067717552,0.2641931413233476,0.9537353350044864,0.5411666878800717,0.3424004474151553
31,training,0.04466645,0.23057109490036964,0.26211682834678685,0.9921291266418635,0.5538106868053182,0.29453563661505844
32,training,0.09958556,0.17967790178954604,0.26211682834678685,1.030968715148351,0.5647410327368508,0.2558036187007022
33,training,0.032383148,0.156767837703228,0.26211682834678685,1.0700041083194876,0.5742108450169362,0.2211749446108399
34,training,0.033209927,0.14182253554463387,0.26211682834678685,1.0896981296885904,0.578477738104397,0.20575110063684005
35,training,0.13628615,0.11741881910711527,0.26211682834678685,1.1290784506566318,0.5861446319808035,0.17899126333457624
36,training,0.068789594,0.09502151515334845,0.26211682834678685,1.1687322388146004,0.5927844829509041,0.15266691713028546
37,training,0.07292402,0.06910821609199047,0.1972664106868379,1.2283066329289645,0.6008959974065274,0.11965455477127677
38,training,0.07149926,0.056996025145053864,0.1972664106868379,1.268312412200265,0.6053604386611736,0.10231410064213256
39,training,0.057109397,0.022256866097450256,0.1972664106868379,1.3080737264773243,0.6090749365773892,0.08430251339504878
40,training,0.05886854,0.012895580381155014,0.1972664106868379,1.3681821665913627,0.6134304912745696,0.0616376889399221
41,training,0.04567405,0.0005678273737430573,0.1972664106868379,1.4280714168495114,0.6165293879290712,0.042308114461006616
42,training,0.025394933,0.002795230597257607,0.11457781748328796,1.4682442586222713,0.6180115817821668,0.032105564012584055
43,training,0.02984314,0.004415355622768402,0.11457781748328796,1.5082177348673715,0.6191273308836412,0.024377287285025966
44,training,0.037823904,0.009004482999444011,0.11457781748328796,1.5482011157955977,0.6199596359095368,0.01714736306628925
45,training,0.020398365,0.01403736136853695,0.11457781748328796,1.5883998641020598,0.6205054665653053,0.011160180204857744
46,training,0.07183744,0.014611849561333653,0.11457781748328796,1.648268981404204,0.6209544879246847,0.003235215725331192
47,training,0.035971228,0.017039170488715172,0.032083223578856325,1.6884637337002408,0.6209688082441974,-0.0019173909378548968
