step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.10252328,0.3036334495991468,0.0,0.00011023044066080841,0.00032947994393612445,0.0019780063817768415
2,training,0.087774515,0.2689911834895611,0.0,0.02008661656447517,0.0003789386278939725,0.0022833927692470944
3,training,0.074694395,0.24893470481038094,0.0,0.05973166812271401,0.0005371407580800742,0.007085705394673331
4,training,0.07027274,0.27554015815258026,0.0,0.0995358795397607,0.001010673310752611,0.01738186087639788
5,training,0.061052676,0.2401861995458603,0.0,0.1195337007241567,0.0014286648873111226,0.024906018025512757
6,training,0.053851042,0.2553614526987076,0.0,0.15945997008425414,0.0027474684325504966,0.042685729522145985
7,training,0.048160467,0.26975058019161224,0.0,0.1990638307666197,0.004893556889635741,0.06670820669604108
8,training,0.039939653,0.18747259676456457,0.014438394057615992,0.23880106717790253,0.008104359830912471,0.09554633323597317
9,training,0.029553259,0.13423022627830505,0.014438394057615992,0.278281626951449,0.012500695198084942,0.12768081152018976
10,training,0.016243102,0.04124468564987188,0.014438394057615992,0.3174700177129113,0.018326421372399912,0.16865236291034336
11,training,0.0144690955,0.03167389333248141,0.014438394057615992,0.3563729481472678,0.025803979598470715,0.2116930773818995
12,training,0.007590145,0.041309744119644165,0.014438394057615992,0.39488980916776417,0.03502849757150907,0.26108138553794596
13,training,0.005024325,0.11992087960243222,0.0113832363953169,0.43263135851280166,0.046226678635084686,0.316585003554824
14,training,0.0025869512,0.2020297199487686,0.0113832363953169,0.4697771389325957,0.05962195416366575,0.3762776224825833
15,training,0.0076977275,0.26875627785921097,0.0113832363953169,0.5236742464720987,0.08391394940673784,0.4733086549484009
16,training,0.033672877,0.3664478771388531,0.0113832363953169,0.574576731389079,0.11358777105760905,0.5823922049875796
17,training,0.073608495,0.3350725881755352,0.009747284916015012,0.6066355495315041,0.13645781194884773,0.6576123274001341
18,training,0.04677839,0.25426746532320976,0.009747284916015012,0.6511921940966405,0.17499214276170985,0.7700706574723388
19,training,0.061570447,0.25118195707909763,0.05513031384545636,0.6915074601867676,0.21822293713086666,0.8672762668129096
20,training,0.03789725,0.2065906496718526,0.05513031384545636,0.7163462654398732,0.2490653877884391,0.9171163784247698
21,training,0.02734368,0.20999890565872192,0.05513031384545636,0.7507566682436586,0.2972901098851271,0.9802562404566578
22,training,0.018865423,0.24475735425949094,0.12462300114057143,0.7723694509235601,0.33069961402341475,1.0112721368250666
23,training,0.036415085,0.4732885807752609,0.12462300114057143,0.7928803246895767,0.3639769154881999,1.0127476098089025
24,training,0.07258983,0.5611572414636612,0.12462300114057143,0.8037567612440991,0.3809754739373029,0.9845311766976085
25,training,0.03670933,0.6370889842510224,0.12462300114057143,0.8405635439571262,0.4295681603615948,0.8542372023668509
26,training,0.059816286,0.5410762801766396,0.12462300114057143,0.8543395251527225,0.4446574033391351,0.8046228345278893
27,training,0.06515224,0.49168887734413147,0.22124742042139212,0.9001088336070385,0.48537721962318137,0.6543728975052372
28,training,0.03490337,0.5131973661482334,0.22124742042139212,0.916469516185698,0.4973410209824521,0.6089886473504279
29,training,0.064644575,0.39405519515275955,0.22124742042139212,0.9686301984385931,0.5288733541071764,0.4766880190399468
30,training,0.058801718,0.3408552408218383,0.26164168927604053,0.9868690546447705,0.5378541046772228,0.4398617161654816
31,training,0.036891997,0.3408885970711708,0.26164168927604053,1.0242402633240852,0.5539490102854793,0.3756024690235355
32,training,0.07866641,0.3089631572365761,0.26164168927604053,1.0621062010332976,0.5676318078264715,0.31716184495883293
33,training,0.10837924,0.2617703750729561,0.26164168927604053,1.1009770343266034,0.5791473344119834,0.2599711310987425
34,training,0.06036197,0.22749238461256027,0.2418177346886019,1.1401912156771685,0.5885701204568254,0.21311693057569633
35,training,0.08122792,0.23980487883090976,0.2418177346886019,1.1797186182820945,0.5962645299360848,0.1720724866396394
36,training,0.06267977,0.15649917721748352,0.2418177346886019,1.2194121534362676,0.60238821685446,0.13337299727005889
37,training,0.060848843,0.19982285425066948,0.2418177346886019,1.2595109462089915,0.606952761567684,0.09619241768713707
38,training,0.08778161,0.14137406647205353,0.2418177346886019,1.2995229029214972,0.6102233236984501,0.06515105438492373
39,training,0.09279781,0.11338293179869652,0.2418177346886019,1.3396109531364044,0.6122494839289974,0.0382728709664598
40,training,0.056858137,0.09649130515754223,0.15428229425959913,1.3799218039640335,0.6133737720432121,0.019242119338031327
41,training,0.04882557,0.02324762288480997,0.15428229425959913,1.4398767270566224,0.6138253236275615,-0.004012237710439334
42,training,0.041541215,0.01580280181951821,0.15428229425959913,1.4800765668780873,0.6134956429098757,-0.009745249469943292
43,training,0.03572609,0.013795622100587934,0.15428229425959913,1.519891967321567,0.6130862555319089,-0.010992358880673818
44,training,0.08484759,0.012318829074501991,0.15428229425959913,1.580015101595674,0.612404991475167,-0.01156881130015456
45,training,0.042927016,0.01028534583747387,0.06265248990202944,1.619853762114829,0.611949604481371,-0.011867335030113208
46,training,0.05806402,0.01180796604603529,0.06265248990202944,1.679947620290383,0.6112299658852264,-0.012130388999189529
47,training,0.032233994,0.01652555912733078,0.06265248990202944,1.7198177685755023,0.610754489523106,-0.012311080952734865
48,training,0.045708198,0.01968606933951378,0.06265248990202944,1.779880136257218,0.6100088735771448,-0.012623528433566778
