step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.09228367,0.2823756039142608,0.0,0.00010868858456488176,0.0003249736282774576,0.0019500208373164094
2,training,0.080041975,0.2581112459301949,0.0,0.014195248604340044,0.0003587437188504581,0.0021584999323976182
3,training,0.075721875,0.2746595963835716,0.0,0.05277662184756563,0.000518881471228288,0.007974283713884775
4,training,0.065985724,0.2587725967168808,0.0,0.0925109797338102,0.0010837297458710033,0.02127922442788729
5,training,0.053061984,0.19294650852680206,0.0,0.13247086285811766,0.0023142739634346085,0.04114032743132624
6,training,0.041191347,0.2508648782968521,0.0,0.1721925173539764,0.004377198538333874,0.06427250310635231
7,training,0.035302795,0.17789813876152039,0.0,0.21174914558037208,0.007536792177329913,0.09559938622381237
8,training,0.023073222,0.08940355479717255,0.008673265589570307,0.251203246575005,0.012029486529805325,0.13109926271492647
9,training,0.012789672,0.016678839921951294,0.008673265589570307,0.29043092675416954,0.018035578824318194,0.17397305360151236
10,training,0.008441703,0.05498734116554255,0.008673265589570307,0.32917148886592,0.025861386762931815,0.22517271912910714
11,training,0.004394264,0.06493547558784485,0.008673265589570307,0.3674515984877207,0.035705682801418434,0.27865949203923995
12,training,0.0033989006,0.13950480520725253,0.008673265589570307,0.40520942812192356,0.04766996662664684,0.3374823580473683
13,training,0.0056513464,0.16949918866157532,0.005692809188188822,0.4418092350013971,0.06183866746755553,0.4018022074696997
14,training,0.007844658,0.3195502981543541,0.005692809188188822,0.4776138537536474,0.07849189303021048,0.46941257568033884
15,training,0.06479419,0.37811280507594347,0.005692809188188822,0.512118135154355,0.09749063998969643,0.5392760479548419
16,training,0.042997986,0.29151342436671257,0.02489907302596441,0.5449736589254356,0.11891392682147643,0.6171886238912849
17,training,0.04046567,0.25821204110980034,0.02489907302596441,0.5760742305342841,0.1427778647011386,0.6893978859627197
18,training,0.031087926,0.18850697204470634,0.02489907302596441,0.6058060871358263,0.16894079964222997,0.7508171220957716
19,training,0.035185695,0.27680227160453796,0.02489907302596441,0.6340742674918509,0.19664698712435028,0.7971007305522114
20,training,0.019615702,0.29963749647140503,0.08158806752174427,0.6612784175872988,0.22549245202391036,0.8310331387630229
21,training,0.043008514,0.2880747467279434,0.08158806752174427,0.6876664256674115,0.25525813846976836,0.8589640642439126
22,training,0.054628342,0.31436221301555634,0.08158806752174427,0.7132284943545791,0.285678211488699,0.8850776151274473
23,training,0.053881444,0.3040289282798767,0.08158806752174427,0.7380105671246068,0.3167718687589996,0.9098439784194619
24,training,0.053204052,0.3155013471841812,0.08158806752174427,0.7621236657009576,0.348451237657911,0.93051289729529
